date,pillar,title,status
2026-09-26,2,"Watching a coastline for months, not just on the day of an incident",
2026-09-27,3,"Governance isn't a delay, it's a filter for better decisions",
2026-09-28,4,"Why the best map of Country still has two authors",
2026-09-29,5,"What respectful scoping looked like on the Torres Shire project",
2026-09-30,6,"Letting students critique a real AI model's mistakes, not just its wins",
2026-10-01,1,"What changes when data entry stops competing with fieldwork",
2026-10-02,2,"Why biosecurity surveillance needs repeat flights, not one snapshot",
2026-10-03,3,"Who gets to say yes to a flight over Country, and why that matters",
2026-10-04,4,"What a drone can see that a Ranger already knew was there",
2026-10-05,5,"Supply Nation registration and what it actually signals to a partner",
2026-10-06,6,"What it means to teach the newest technology from inside the oldest living culture",
2026-10-07,1,"A day in the life: Ranger Field App from dawn checklist to evening report",
2026-10-08,2,"Mapping Horn Island's coastline with a DJI Matrice 4T, not a boat",
2026-10-09,3,"What Goondoi taught me about doing governance properly the first time",
2026-10-10,4,"The RMIT mangrove project: where an algorithm met generations of local knowledge",
2026-10-11,5,"Why the best commercial outcomes came from the slowest, most careful start",
2026-10-12,6,"A classroom exercise: would you trust this drone's map, and why",
2026-10-13,1,"Why an app built with rangers, not for rangers, actually gets used",
2026-10-14,2,"What surveillance from the air protects that surveillance from the ground can't",
2026-10-15,3,"Cultural protocols aren't paperwork — they're the actual project plan",
2026-10-16,4,"Old ways and new tools aren't in competition — here's where they meet",
2026-10-17,5,"What I wish more corporate partners asked before engaging Traditional Owners",
2026-10-18,6,"Why students remember the ranger's story longer than the tech demo",
2026-10-19,1,"Less time on forms, more time on Country — what that trade-off is worth",
2026-10-20,2,"From flight plan to shark alert: how the data actually moves",
2026-10-21,3,"Why outcomes improve when Traditional Owners set the questions, not just answer them",
2026-10-22,4,"Why I trust a model more when a Ranger has checked its homework",
2026-10-23,5,"Indigenous Intelligence enhanced by AI — what that phrase actually means in practice",
2026-10-24,6,"What I want a 14-year-old to understand about AI and Country by the end of one lesson",
